5	ser	v	24871051	1061007
15	se	p	7094640	889101
25	poder	v	3985432	766259
35	como	r	2345145	632176
45	quando	r	1871057	551109
55	eles	p	1644981	460473
65	que	r	1321287	487208
75	tempo	n	1107944	417196
85	aqui	r	925284	360710
95	tu	p	783247	191030
105	parte	n	710827	335142
115	nem	r	632113	281362
125	de	p	592242	287292
135	pouco	d	543641	284750
145	criar	v	503132	254073
155	verdade	n	480868	216943
165	governo	n	457576	142799
175	palavra	n	436925	183762
185	lugar	n	423854	212043
195	tomar	v	404914	199085
205	aí	r	387205	195341
215	público	j	376238	152505
225	site	n	361371	155762
235	número	n	349589	168896
245	há	e	333194	202309
255	mão	n	314547	163031
265	como	c	298944	178971
275	jovem	j	288676	130491
285	condição	n	279758	145951
295	resposta	n	270667	144229
305	caminho	n	258755	142434
315	conhecimento	n	255549	120597
325	maneira	n	246940	145423
335	segundo	m	242428	151473
345	seguinte	j	233065	137161
355	verdadeiro	j	228784	128948
365	recurso	n	222241	102798
375	sofrer	v	216129	123309
385	comum	j	211081	130035
395	política	n	207991	93849
405	medo	n	203328	94873
415	melhor	r	199329	137070
425	correr	v	195560	117370
435	parar	v	192413	113817
445	energia	n	187650	69560
455	antigo	j	184044	109304
465	sucesso	n	181540	106886
475	cujo	p	177173	111993
485	prova	n	174627	78760
495	negócio	n	170108	78933
505	personagem	n	167935	65343
515	ali	r	165094	93722
525	pergunta	n	162139	91123
535	passado	j	158842	109962
545	membro	n	156885	81238
555	setembro	n	154424	94692
565	assistir	v	152546	87973
575	legal	j	149937	82762
585	aproveitar	v	146303	103252
595	exigir	v	145020	93342
605	irmão	n	143581	62280
615	crise	n	141928	65156
625	preferir	v	138233	95427
635	teu	p	136535	54820
645	espécie	n	134332	74636
655	alma	n	133231	60315
665	paz	n	130943	62249
675	chamado	j	129992	90905
685	entregar	v	128636	80499
695	futebol	n	126763	51203
705	crescimento	n	124129	64859
715	longo	e	122071	89007
725	cultural	j	120453	58969
735	retirar	v	119466	80666
745	expressão	n	117681	68133
755	domingo	n	116123	78091
765	defesa	n	114571	61738
775	nota	n	113168	66164
785	sábado	n	112043	72754
795	terceiro	m	111006	76362
805	campanha	n	110456	56699
815	técnico	j	109395	66969
825	agir	v	108357	65509
835	geração	n	107429	60382
845	município	n	106833	45097
855	marido	n	106006	44588
865	acrescentar	v	103789	76039
875	carta	n	102418	46306
885	cena	n	101510	52913
895	belo	j	100480	66102
905	permanecer	v	99860	68560
915	econômico	j	98382	44169
925	banda	n	96877	36245
935	iniciativa	n	95921	61451
945	maio	n	94611	61068
955	criticar	v	93635	55167
965	esperança	n	92694	59988
975	universo	n	91891	48232
985	peso	n	91166	50550
995	grave	j	89830	59281
1005	veículo	n	89171	39493
1015	deputado	n	88549	35065
1025	presente	n	87306	56859
1035	acima	r	86617	60233
1045	separar	v	85910	56973
1055	utilização	n	84871	51270
1065	tendência	n	84290	55476
1075	votar	v	83770	37874
1085	interior	n	83149	54579
1095	fator	n	82751	47379
1105	comparar	v	82126	57722
1115	maravilhoso	j	81330	53237
1125	afetar	v	80796	55203
1135	preocupação	n	79735	58343
1145	clique	n	79070	39882
1155	agente	n	78134	41887
1165	muito	n	77446	60116
1175	jamais	r	76847	50653
1185	vez	e	76002	54586
1195	olhar	n	74677	49398
1205	dimensão	n	74174	44429
1215	dentro	r	73387	54549
1225	droga	n	72662	29071
1235	braço	n	71670	45248
1245	reforma	n	70632	33492
1255	tradição	n	69868	39054
1265	sequer	r	69621	51425
1275	optar	v	68643	50548
1285	comida	n	67973	39156
1295	estrada	n	67299	37096
1305	agência	n	66700	39466
1315	global	j	65971	38174
1325	duvidar	v	65210	40208
1335	compromisso	n	64522	44463
1345	recordar	v	64048	44999
1355	enganar	v	63383	42450
1365	inspirar	v	62940	46013
1375	hipótese	n	62611	37375
1385	queda	n	61889	37932
1395	estrela	n	61498	33492
1405	alimentação	n	60966	33932
1415	instalação	n	60456	33760
1425	disposição	n	60183	41867
1435	inferior	j	59835	39316
1445	caráter	n	59519	37276
1455	denunciar	v	59028	33633
1465	chão	n	58384	38948
1475	constituição	n	58148	28987
1485	bolsa	n	57878	27558
1495	estrangeiro	j	57312	34086
1505	embora	r	56841	40876
1515	interpretação	n	56730	31983
1525	começo	n	56297	42299
1535	esclarecer	v	55960	41602
1545	elaborar	v	55560	40852
1555	fantástico	j	55096	40789
1565	participante	n	54669	32660
1575	destaque	n	54089	41947
1585	particular	j	53780	38072
1595	desculpa	n	53119	37574
1605	decorrer	v	52762	38717
1615	suportar	v	52257	37658
1625	the	l	52002	24274
1635	motor	n	51255	19501
1645	carga	n	50821	27892
1655	inventar	v	50458	35849
1665	sombra	n	50162	30598
1675	gênero	n	49847	27648
1685	exibir	v	49446	33648
1695	preconceito	n	49158	26430
1705	treino	n	48749	19119
1715	comando	n	48546	27221
1725	lavar	v	48221	27481
1735	familiar	n	47984	33955
1745	representação	n	47709	26477
1755	curtir	v	47368	31365
1765	capa	n	47002	26371
1775	emocional	j	46430	28161
1785	resistência	n	46247	28803
1795	símbolo	n	45999	26092
1805	orçamento	n	45729	26995
1815	surpresa	n	45465	35490
1825	dito	j	45211	31726
1835	professora	n	45028	24142
1845	evoluir	v	44559	31428
1855	seco	j	44137	27263
1865	companheiro	n	43862	29168
1875	passeio	n	43592	24238
1885	permanente	j	43304	31462
1895	paciência	n	43094	31372
1905	químico	j	42803	20688
1915	mistério	n	42567	25677
1925	província	n	42307	19856
1935	focar	v	42145	32372
1945	sector	n	41785	20239
1955	pesquisador	n	41458	22409
1965	alimentar	j	41190	21559
1975	financiamento	n	40930	20668
1985	exploração	n	40730	23268
1995	celebrar	v	40487	26993
2005	assistência	n	40143	23116
2015	refeição	n	39918	22266
2025	registo	n	39641	21547
2035	esporte	n	39457	20215
2045	concreto	j	39289	27964
2055	aviso	n	39063	29040
2065	universal	j	38892	23553
2075	direito	r	38743	28929
2085	visível	j	38614	29617
2095	petróleo	n	38433	16248
2105	independentemente	r	38096	30692
2115	vosso	p	37866	20839
2125	comemorar	v	37670	27739
2135	falhar	v	37512	27127
2145	cobertura	n	37320	21576
2155	reagir	v	37160	28460
2165	anônimo	j	36850	22796
2175	concepção	n	36632	20158
2185	feio	j	36405	23037
2195	lesão	n	36170	17508
2205	reproduzir	v	35885	27411
2215	golpe	n	35596	20279
2225	contemporâneo	j	35374	23277
2235	aborto	n	35166	8646
2245	finalidade	n	34991	24850
2255	secundário	j	34901	20826
2265	conforto	n	34550	25455
2275	fundamento	n	34262	20697
2285	passe	n	33972	21048
2295	menu	n	33723	23762
2305	floresta	n	33529	16007
2315	engraçar	v	33401	25451
2325	biblioteca	n	33277	16224
2335	torcer	v	33119	22224
2345	cavalo	n	32980	15572
2355	estatuto	n	32815	18686
2365	implementar	v	32645	23345
2375	ouvido	n	32491	21820
2385	devolver	v	32307	23142
2395	moral	n	32092	20418
2405	conduta	n	31922	19131
2415	produtivo	j	31785	19900
2425	render	v	31668	24764
2435	narrativa	n	31479	17686
2445	constantemente	r	31272	26403
2455	secreto	j	31128	19078
2465	planejamento	n	31009	18011
2475	atualização	n	30833	18453
2485	educar	v	30654	20647
2495	treinamento	n	30503	16811
2505	autonomia	n	30255	17868
2515	motorista	n	30090	14251
2525	automaticamente	r	29823	21918
2535	distrito	n	29646	14653
2545	perseguir	v	29543	22031
2555	continuidade	n	29360	22635
2565	requisito	n	28979	17581
2575	bomba	n	28891	17137
2585	arrepender	v	28736	18551
2595	revelação	n	28549	18089
2605	rock	n	28459	12991
2615	processar	v	28223	19878
2625	biológico	j	28094	14982
2635	vila	n	27984	15344
2645	merda	n	27810	14182
2655	alheio	j	27716	21321
2665	regresso	n	27576	19699
2675	beijar	v	27472	14487
2685	sólido	j	27326	20763
2695	ignorância	n	27174	17967
2705	nervoso	j	26978	17779
2715	diabo	n	26797	14421
2725	convidado	n	26648	18315
2735	comportar	v	26557	21105
2745	antes	e	26383	21817
2755	compensar	v	26261	20786
2765	rodar	v	26100	16756
2775	ganho	n	25934	17085
2785	relativamente	r	25855	21280
2795	limpo	j	25708	19959
2805	bloquear	v	25569	16515
2815	bem-estar	n	25458	18199
2825	chamada	n	25296	15871
2835	embalagem	n	25140	13153
2845	historiar	v	24963	14550
2855	injustiça	n	24855	17722
2865	ofender	v	24595	16340
2875	ombro	n	24376	16209
2885	radical	j	24281	17761
2895	incapaz	j	24153	18964
2905	estreia	n	24020	16730
2915	riso	n	23896	14415
2925	esclarecimento	n	23818	17245
2935	ativar	v	23708	15652
2945	incêndio	n	23617	11710
2955	doar	v	23551	15627
2965	harmonia	n	23479	16590
2975	simpático	j	23413	18396
2985	legítimo	j	23317	17017
2995	espectador	n	23205	14182
3005	estético	j	23113	14082
3015	idioma	n	22979	13640
3025	relógio	n	22881	13084
3035	razoável	j	22739	17597
3045	aquecer	v	22603	16128
3055	criado	n	22506	18267
3065	profundidade	n	22400	16538
3075	assassinar	v	22289	15162
3085	ritual	n	22191	12252
3095	remuneração	n	22108	11003
3105	empurrar	v	22061	17344
3115	renovação	n	21951	14925
3125	rainha	n	21844	11260
3135	entrevistar	v	21787	16903
3145	habitação	n	21708	12078
3155	potenciar	v	21618	16741
3165	horizonte	n	21565	16715
3175	gerente	n	21485	12533
3185	perfume	n	21398	10874
3195	demonstração	n	21327	14946
3205	dupla	n	21234	14216
3215	tropa	n	21161	11262
3225	feito	n	21031	16920
3235	jurar	v	20923	15781
3245	delegado	n	20819	9504
3255	surpreendente	j	20659	18150
3265	and	c	20570	13485
3275	bactéria	n	20488	8269
3285	eis	r	20422	15383
3295	metodologia	n	20281	12517
3305	coordenar	v	20194	16049
3315	inquérito	n	20109	11236
3325	japonês	j	19920	12042
3335	esportivo	j	19799	11794
3345	primeiro	j	19739	16708
3355	resíduo	n	19583	8763
3365	lente	n	19468	6782
3375	coordenador	n	19382	13697
3385	iluminação	n	19274	11629
3395	escândalo	n	19218	13138
3405	polêmico	j	19106	15754
3415	relaxar	v	18984	14249
3425	complexidade	n	18907	13758
3435	alugar	v	18821	11499
3445	viatura	n	18751	9373
3455	poupança	n	18641	9393
3465	dominante	j	18526	11997
3475	seminário	n	18429	10861
3485	mandamento	n	18269	7941
3495	documentação	n	18223	11452
3505	património	n	18189	10585
3515	oceano	n	18127	11458
3525	cansado	j	18035	14231
3535	característico	j	17960	15070
3545	dotar	v	17882	14117
3555	verde	n	17789	13005
3565	simplicidade	n	17714	13956
3575	arquitetura	n	17666	9413
3585	ponto	e	17580	14976
3595	satanás	n	17518	6031
3605	rígido	j	17433	12644
3615	frustração	n	17286	13345
3625	encomenda	n	17213	8939
3635	cadastro	n	17117	8822
3645	inerente	j	17054	13767
3655	dobrar	v	16996	13266
3665	disfarçar	v	16906	13735
3675	extenso	j	16853	14367
3685	apenar	v	16784	14420
3695	assassino	n	16671	10327
3705	grão	n	16582	8945
3715	integridade	n	16537	12235
3725	temática	n	16512	12954
3735	proclamar	v	16417	11613
3745	equipar	v	16391	12465
3755	nossa	i	16278	13726
3765	reivindicação	n	16210	10994
3775	vista	e	16169	12597
3785	clareza	n	16065	13213
3795	liga	n	15988	9557
3805	presidencial	j	15921	10509
3815	gigante	j	15834	12625
3825	aparecimento	n	15757	11924
3835	síndrome	n	15668	7344
3845	pequenino	j	15642	12154
3855	entre	m	15538	12620
3865	altar	n	15447	7931
3875	numeroso	j	15396	11865
3885	lentamente	r	15336	11945
3895	gene	n	15275	5308
3905	monetário	j	15202	8423
3915	corporação	n	15135	9442
3925	eternidade	n	15097	10190
3935	emocionar	v	15029	11519
3945	atacante	n	14969	8027
3955	compensação	n	14910	10161
3965	abrigar	v	14861	12077
3975	apto	j	14796	11335
3985	clínica	n	14701	9297
3995	magoar	v	14678	9884
4005	gigantesco	j	14620	12343
4015	decepcionar	v	14553	11285
4025	escravo	j	14482	8190
4035	candidatar	v	14432	10048
4045	comerciante	n	14361	8987
4055	empenho	n	14295	12132
4065	criminal	j	14246	8623
4075	polêmica	n	14221	11143
4085	organizado	j	14191	11081
4095	primitivo	j	14143	8866
4105	batismo	n	14069	4516
4115	honestidade	n	14034	9994
4125	consecutivo	j	13986	10923
4135	ex-presidente	n	13935	9028
4145	homenagear	v	13858	10593
4155	coitado	j	13825	10715
4165	medicação	n	13752	7347
4175	superficial	j	13705	10635
4185	leste	n	13659	9815
4195	divórcio	n	13624	6371
4205	derramar	v	13564	9405
4215	soja	n	13494	5765
4225	fígado	n	13431	6534
4235	poluição	n	13381	8124
4245	chinês	n	13313	8270
4255	exercitar	v	13280	10285
4265	usado	j	13236	10839
4275	cebola	n	13164	6144
4285	enfiar	v	13107	10329
4295	envelhecer	v	13081	9680
4305	mentiroso	j	13024	8949
4315	normal	n	12955	10519
4325	orgulhar	v	12897	10869
4335	encerramento	n	12860	9385
4345	mineiro	j	12802	8014
4355	reinar	v	12756	9544
4365	gênio	n	12705	8840
4375	edificar	v	12672	8182
4385	carinhoso	j	12644	9033
4395	trás	e	12569	11145
4405	presenciar	v	12523	10404
4415	escasso	j	12483	10955
4425	sagrado	j	12417	8196
4435	anualmente	r	12386	10448
4445	pimenta	n	12329	6677
4455	simultâneo	j	12287	10414
4465	provir	v	12218	9851
4475	reto	j	12161	8048
4485	sigla	n	12114	9367
4495	alívio	n	12064	9836
4505	largura	n	12037	7504
4515	rapidez	n	11990	10204
4525	brutal	j	11954	10030
4535	sinônimo	j	11912	10387
4545	bico	n	11869	7722
4555	porcaria	n	11822	8676
4565	boi	n	11770	7217
4575	preconceituoso	j	11722	8485
4585	praga	n	11680	6847
4595	psíquico	j	11644	6538
4605	advertir	v	11616	9434
4615	coleta	n	11583	6641
4625	miserável	j	11549	8898
4635	parceira	n	11509	8763
4645	compaixão	n	11476	7477
4655	inverter	v	11437	9710
4665	silencioso	j	11393	9406
4675	certificação	n	11355	5676
4685	estimado	j	11297	9109
4695	dedicado	j	11262	9476
4705	monitor	n	11233	5719
4715	decorrer	e	11205	9693
4725	sensor	n	11182	5099
4735	sucessão	n	11130	7882
4745	cineasta	n	11080	6317
4755	intensificar	v	11056	9628
4765	desperdício	n	11028	8266
4775	judeu	j	10985	5736
4785	construtivo	j	10941	8575
4795	significativamente	r	10891	9438
4805	duvidoso	j	10866	9431
4815	tremer	v	10823	8340
4825	acessibilidade	n	10797	5145
4835	cintura	n	10751	7113
4845	hidratar	v	10731	5761
4855	onze	m	10703	8657
4865	iogurte	n	10657	5020
4875	territorial	j	10623	6882
4885	procurador	n	10596	5544
4895	agente	j	10553	7274
4905	embargo	n	10519	3535
4915	sufocar	v	10479	8628
4925	calçada	n	10462	6879
4935	fixação	n	10434	7174
4945	feedback	n	10404	6600
4955	rodoviário	j	10370	6459
4965	fado	n	10336	3839
4975	indireto	j	10297	7338
4985	deduzir	v	10276	7335
4995	utopia	n	10249	6861
5005	espanto	n	10216	8689
5015	cursar	v	10166	7112
5025	marinho	j	10144	5938
5035	informático	j	10098	6798
5045	instabilidade	n	10067	7681
5055	sexta	n	10045	7932
5065	encanto	n	10023	8273
5075	desgaste	n	9987	7761
5085	inconsciente	n	9973	5799
5095	vário	j	9944	7177
5105	consórcio	n	9914	3711
5115	saudação	n	9889	7226
5125	coroa	n	9852	6195
5135	ordinário	j	9827	6116
5145	constante	n	9778	7998
5155	testa	n	9749	7308
5165	homossexualidade	n	9738	4045
5175	dourar	v	9711	7484
5185	enfraquecer	v	9685	8104
5195	precedente	n	9666	7447
5205	intérprete	n	9613	6185
5215	cativar	v	9592	8103
5225	forte	n	9565	7832
5235	acréscimo	n	9525	7241
5245	reencontrar	v	9499	7845
5255	empatar	v	9472	6471
5265	habilitação	n	9438	5328
5275	maldição	n	9408	5483
5285	galáxia	n	9379	3814
5295	integralmente	r	9363	8166
5305	recebimento	n	9333	6235
5315	certidão	n	9283	4227
5325	impunidade	n	9258	6320
5335	elevador	n	9230	5408
5345	metabolismo	n	9204	5377
5355	contador	n	9173	6097
5365	ambicioso	j	9149	7835
5375	sensacional	j	9129	7512
5385	viabilizar	v	9100	7452
5395	perpetuar	v	9077	7761
5405	alerta	j	9053	8200
5415	psicóloga	n	9022	5508
5425	renovável	j	9003	4637
5435	pioneiro	n	8982	7364
5445	aluguel	n	8933	5068
5455	fluido	j	8919	5484
5465	titular	j	8884	6525
5475	nicho	n	8866	5622
5485	vislumbrar	v	8831	7837
5495	indiferença	n	8809	6937
5505	geladeira	n	8788	5454
5515	lacuna	n	8768	6991
5525	mediante	j	8729	6787
5535	acolhimento	n	8701	6039
5545	abastecer	v	8666	6769
5555	edificação	n	8634	5409
5565	influente	j	8604	7329
5575	pena	e	8576	6751
5585	coríntio	j	8561	4148
5595	artesanato	n	8532	5718
5605	sediar	v	8503	7028
5615	agressividade	n	8480	5924
5625	vomitar	v	8462	5459
5635	racionalidade	n	8426	5236
5645	norte-americano	n	8397	6523
5655	gentileza	n	8369	6165
5665	fumaça	n	8351	5633
5675	zumbi	n	8336	2977
